adm4_pcode,date,adm1_en,adm2_en,adm3_pcode,adm3_en,adm4_en,brgy_total_area,pr_monthly_total_mm,tave_monthly_mean_c,tmin_monthly_mean_c,tmax_monthly_mean_c,heat_index_monthly_mean_c,heat_index_monthly_max_c,rh_monthly_mean_pct,wind_speed_monthly_mean,solar_rad_monthly_mean,dengue_cases,dengue_deaths,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_area_mean,pop_count_total,pop_density_mean,pr_total_mm_lag_1m,heat_index_mean_lag_1m,tave_mean_lag_1m,pr_total_mm_lag_2m,heat_index_mean_lag_2m,tave_mean_lag_2m,pr_total_mm_lag_3m,heat_index_mean_lag_3m,tave_mean_lag_3m,pr_rolling_3m_avg,brgy_p75_threshold,is_outbreak
PH104305001,2006-07-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,271.02,25.64,22.925483870967742,28.59032258064516,27.240322580645163,28.83,79.18870967741935,0.5222580645161291,224.0732258064516,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,334.81,27.316333333333333,25.397333333333332,120.39,28.061935483870965,25.787419354838708,71.9,27.964666666666666,25.903000000000002,242.07333333333335,5.0,0
PH104305001,2006-08-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,250.5,25.661935483870966,22.87483870967742,28.851290322580645,27.205161290322582,28.3,79.47774193548386,0.6293548387096775,227.79870967741937,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,271.02,27.240322580645163,25.64,334.81,27.316333333333333,25.397333333333332,120.39,28.061935483870965,25.787419354838708,285.4433333333333,5.0,0
PH104305001,2006-09-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,181.7,25.319666666666667,22.562333333333335,28.433,26.926333333333332,28.33,82.58366666666667,0.47333333333333333,210.88933333333335,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,250.5,27.205161290322582,25.661935483870966,271.02,27.240322580645163,25.64,334.81,27.316333333333333,25.397333333333332,234.40666666666664,5.0,0
PH104305001,2006-10-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,281.24,25.129354838709677,22.68903225806452,28.004516129032258,26.741290322580646,28.79,85.3167741935484,0.7338709677419355,210.1448387096774,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,181.7,26.926333333333332,25.319666666666667,250.5,27.205161290322582,25.661935483870966,271.02,27.240322580645163,25.64,237.8133333333333,5.0,0
PH104305001,2006-11-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,98.65,25.426666666666666,22.183,29.031,27.16166666666667,28.25,82.81233333333333,0.3223333333333333,224.462,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,281.24,26.741290322580646,25.129354838709677,181.7,26.926333333333332,25.319666666666667,250.5,27.205161290322582,25.661935483870966,187.19666666666663,5.0,0
PH104305001,2006-12-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,122.58,25.322580645161292,22.207741935483874,28.836451612903225,27.11935483870968,28.52,84.79806451612903,0.3419354838709677,204.43935483870968,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,98.65,27.16166666666667,25.426666666666666,281.24,26.741290322580646,25.129354838709677,181.7,26.926333333333332,25.319666666666667,167.48999999999998,5.0,0
PH104305001,2007-01-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,176.62,24.970645161290324,22.524838709677418,27.87516129032258,26.403548387096773,28.02,84.76290322580645,0.5870967741935483,166.59129032258065,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,122.58,27.11935483870968,25.322580645161292,98.65,27.16166666666667,25.426666666666666,281.24,26.741290322580646,25.129354838709677,132.61666666666665,5.0,0
PH104305001,2007-02-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,62.019999999999996,24.99607142857143,22.041785714285712,28.395357142857144,26.527142857142856,28.13,84.33857142857143,0.5482142857142857,203.3685714285714,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,176.62,26.403548387096773,24.970645161290324,122.58,27.11935483870968,25.322580645161292,98.65,27.16166666666667,25.426666666666666,120.40666666666664,5.0,0
PH104305001,2007-03-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,70.91,25.40967741935484,21.880967741935482,29.254516129032258,27.03774193548387,29.16,81.45451612903226,0.3419354838709677,254.60967741935482,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,62.019999999999996,26.527142857142856,24.99607142857143,176.62,26.403548387096773,24.970645161290324,122.58,27.11935483870968,25.322580645161292,103.18333333333332,5.0,0
PH104305001,2007-04-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,61.57,26.078333333333333,22.692333333333334,29.795333333333335,28.32133333333333,30.08,82.16000000000001,0.286,261.3276666666667,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,70.91,27.03774193548387,25.40967741935484,62.019999999999996,26.527142857142856,24.99607142857143,176.62,26.403548387096773,24.970645161290324,64.83333333333331,5.0,0
PH104305001,2007-05-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,186.49,26.01516129032258,22.986129032258066,29.33516129032258,28.24225806451613,29.06,83.13548387096773,0.29129032258064513,238.83322580645162,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,61.57,28.32133333333333,26.078333333333333,70.91,27.03774193548387,25.40967741935484,62.019999999999996,26.527142857142856,24.99607142857143,106.32333333333332,5.0,0
PH104305001,2007-06-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,350.17,25.87066666666667,22.936333333333334,29.212,28.118666666666666,29.31,85.89866666666667,0.2986666666666667,214.64833333333334,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,186.49,28.24225806451613,26.01516129032258,61.57,28.32133333333333,26.078333333333333,70.91,27.03774193548387,25.40967741935484,199.41,5.0,0
PH104305001,2007-07-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,320.82,25.491935483870968,22.740000000000002,28.79,27.235806451612905,29.07,82.82290322580646,0.48129032258064514,221.46483870967742,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,350.17,28.118666666666666,25.87066666666667,186.49,28.24225806451613,26.01516129032258,61.57,28.32133333333333,26.078333333333333,285.82666666666665,5.0,0
PH104305001,2007-08-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,316.2,25.38806451612903,22.55354838709677,28.497741935483873,26.93516129032258,28.3,81.34258064516129,0.3664516129032258,217.7132258064516,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,320.82,27.235806451612905,25.491935483870968,350.17,28.118666666666666,25.87066666666667,186.49,28.24225806451613,26.01516129032258,329.06333333333333,5.0,0
